time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-31T15:38:20.450Z,37.3823318,-121.7396698,6.07,2.62,md,65,34,0.0251,0.06,nc,nc73104291,2018-10-31T20:36:12.871Z,"8km ENE of Alum Rock, CA",earthquake,0.11,0.32,0.11,75,automatic,nc,nc
2018-10-31T15:24:02.410Z,38.7906685,-122.762001,0.3,1.16,md,13,67,0.02013,0.03,nc,nc73104276,2018-10-31T16:47:03.537Z,"2km NNW of The Geysers, CA",earthquake,0.21,0.57,0.13,5,automatic,nc,nc
2018-10-31T15:05:15.180Z,19.4169998,-155.2888336,0.67,1.76,ml,18,77,0.004519,0.3,hv,hv70677347,2018-10-31T15:10:57.860Z,"5km WSW of Volcano, Hawaii",earthquake,0.39,0.27,0.35,6,automatic,hv,hv
2018-10-31T15:03:56.580Z,33.5015,-116.776,3.76,0.19,ml,15,91,0.02305,0.1,ci,ci37409538,2018-10-31T18:37:41.397Z,"10km NE of Aguanga, CA",earthquake,0.24,0.45,0.059,6,reviewed,ci,ci
2018-10-31T14:59:54.171Z,38.4751,-118.3975,8.1,0.1,ml,5,134.97,0.062,0.0797,nn,nn00663595,2018-10-31T18:55:21.874Z,"20km ESE of Hawthorne, Nevada",earthquake,,3.6,0,1,reviewed,nn,nn
2018-10-31T14:44:45.610Z,33.5145,-116.5541667,13.52,0.76,ml,40,77,0.04473,0.16,ci,ci37409530,2018-10-31T18:38:43.267Z,"12km ESE of Anza, CA",earthquake,0.2,0.34,0.137,15,reviewed,ci,ci
2018-10-31T14:31:45.810Z,37.385,-118.4068333,13.15,1.81,md,25,68,0.0476,0.06,nc,nc73104256,2018-10-31T19:18:02.766Z,"1km ESE of Dixon Lane-Meadow Creek, CA",earthquake,0.26,0.59,0.169,22,reviewed,nc,nc
2018-10-31T14:30:20.070Z,33.6293333,-116.6856667,12.84,0.43,ml,19,64,0.04069,0.09,ci,ci37409514,2018-10-31T18:29:02.159Z,"8km N of Anza, CA",earthquake,0.18,0.42,0.135,5,reviewed,ci,ci
2018-10-31T14:26:24.100Z,37.3908333,-118.4093333,10.49,0.54,md,5,114,0.04146,0.02,nc,nc73104251,2018-10-31T18:52:16.840Z,"1km NE of Dixon Lane-Meadow Creek, CA",earthquake,0.37,1.18,0.077,4,reviewed,nc,nc
2018-10-31T14:26:15.090Z,19.2094994,-155.4666595,35.8,1.99,md,47,148,0.05397,0.16,hv,hv70677317,2018-10-31T14:29:35.700Z,"1km ENE of Pahala, Hawaii",earthquake,0.64,0.93,0.24,6,automatic,hv,hv
2018-10-31T14:25:11.241Z,61.0328,-146.2098,4.2,1.3,ml,,,,0.95,ak,ak20306620,2018-10-31T14:28:28.286Z,"13km SE of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-31T14:22:33.811Z,59.3926,-137.3593,33.4,2.1,ml,,,,0.64,ak,ak20306618,2018-10-31T14:26:17.471Z,"110km W of Haines, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-10-31T14:14:33.278Z,64.6659,-148.3115,1.3,1,ml,,,,0.62,ak,ak20306616,2018-10-31T14:19:05.314Z,"24km SW of Ester, Alaska",earthquake,,8.2,,,automatic,ak,ak
2018-10-31T14:01:39.775Z,61.1278,-143.5442,20.5,1.1,ml,,,,0.24,ak,ak20306614,2018-10-31T14:03:40.848Z,"64km SE of Chitina, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-10-31T13:46:17.541Z,38.9788,-118.8016,0,1,ml,5,162.15,0.341,0.1157,nn,nn00663593,2018-10-31T18:46:06.419Z,"31km E of Yerington, Nevada",earthquake,,0,0.14,3,reviewed,nn,nn
2018-10-31T13:25:30.910Z,33.495,-116.7918333,4.12,0.46,ml,18,108,0.01873,0.14,ci,ci37409466,2018-10-31T13:39:38.171Z,"9km NE of Aguanga, CA",earthquake,0.26,0.39,0.153,11,reviewed,ci,ci
2018-10-31T13:24:35.200Z,34.0243333,-117.1526667,15.97,0.81,ml,12,215,0.03523,0.11,ci,ci37409474,2018-10-31T20:24:14.818Z,"4km SE of Redlands, CA",earthquake,0.48,0.59,0.055,10,reviewed,ci,ci
2018-10-31T13:13:35.660Z,33.501,-116.7763333,3.76,0.25,ml,20,93,0.02305,0.08,ci,ci37409450,2018-10-31T18:25:29.849Z,"10km NE of Aguanga, CA",earthquake,0.14,0.24,0.037,4,reviewed,ci,ci
2018-10-31T13:10:35.840Z,33.5005,-116.7778333,3.79,0.72,ml,27,34,0.02223,0.16,ci,ci37409442,2018-10-31T13:40:37.540Z,"10km NE of Aguanga, CA",earthquake,0.2,0.48,0.118,23,reviewed,ci,ci
2018-10-31T12:53:36.940Z,19.4115009,-155.2861633,0.45,1.71,ml,17,69,0.006432,0.13,hv,hv70677202,2018-10-31T12:59:20.360Z,"5km WSW of Volcano, Hawaii",earthquake,0.23,0.26,0.25,5,automatic,hv,hv
2018-10-31T12:36:32.300Z,-57.383,-66.2949,10,5.2,mb,,129,2.567,0.98,us,us2000i4ke,2018-10-31T15:48:45.040Z,"Drake Passage",earthquake,9.9,1.9,0.06,93,reviewed,us,us
2018-10-31T12:28:06.380Z,36.0806667,-117.8643333,2.14,2.48,ml,36,55,0.03763,0.12,ci,ci37409410,2018-10-31T19:23:43.500Z,"8km ENE of Coso Junction, CA",earthquake,0.15,0.18,0.185,25,reviewed,ci,ci
